id;nom_hebergeur;nom_serveur;arch;cpu_nombre;ram;max_sire;type;price_monthly;hourly_price;ipv_6;band_width_internal;band_width_external
1;generating c c;Corse;interface synthesize lavender;26088;43345;34024;technologies Borders Kwacha;42972;7433;true;16580;86752
2;Mouse;1080p Metal;Bedfordshire;7748;78078;68504;Account;95326;42096;false;32837;16284
3;Automotive Auvergne Shirt;Handcrafted Designer Compatible;silver;25723;60011;44625;compressing a drive;27428;75087;false;10762;24541
4;Technicien index Frozen;generation;Designer;90746;60868;7439;compressing Berkshire;74365;60185;false;8215;59685
5;Savings extensible;sticky;Enterprise-wide Card;65997;91852;90863;bluetooth Kids Steel;82298;17799;false;24304;51691
6;indexing;Diverse;hack solutions Bourgogne;4563;5998;33077;Superviseur withdrawal;54342;84679;false;51358;19256
7;Table magenta budgetary;Dobra;payment;61294;56818;54422;program invoice Account;26766;15203;false;11125;576
8;Rustic reciprocal;Automotive global demand-driven;bluetooth;37661;72039;78781;b;44670;92148;false;82652;89777
9;a;Sports withdrawal benchmark;executive generate Towels;66745;31067;16492;auxiliary a EXE;21497;82073;false;20294;76935
10;Auto;a parse;paradigms Wooden de;71992;48995;11050;Maldives Books Cotton;13237;55185;true;92453;48288
